ID	Case.Number	Date	Block	IUCR	Primary.Type	Description	Location.Description	Arrest	Domestic	Beat	District	Ward	Community.Area	FBI.Code	X.Coordinate	Y.Coordinate	Year	Updated.On	Latitude	Longitude	Location
10439252	HZ178038	2016-03-07	112XX S STEWART AVE	051A	ASSAULT	AGGRAVATED: HANDGUN	STREET	false	false	522	5	34	49	04A	1175633	1830223	2016	03/14/2016 03:50:39 PM	41.689497215	-87.632632763	(41.689497215, -87.632632763)
10439254	HZ178031	2016-03-07	112XX S WALLACE ST	0460	BATTERY	SIMPLE	SCHOOL, PUBLIC, BUILDING	true	false	2233	22	34	49	08B	1174313	1830380	2016	03/14/2016 03:50:39 PM	41.68995741	-87.637460623	(41.68995741, -87.637460623)
10439255	HZ178062	2016-03-07	063XX W 56TH ST	0890	THEFT	FROM BUILDING	SCHOOL, PUBLIC, BUILDING	false	false	811	8	23	56	06	1135110	1866750	2016	03/14/2016 03:50:39 PM	41.79054357	-87.780130326	(41.79054357, -87.780130326)
10439256	HZ178058	2016-03-07	023XX W 64TH ST	0484	BATTERY	PRO EMP HANDS NO/MIN INJURY	SCHOOL, PUBLIC, BUILDING	false	false	825	8	15	66	08B	1162090	1862158	2016	03/14/2016 03:50:39 PM	41.777423514	-87.681328162	(41.777423514, -87.681328162)
10439267	HZ178070	2016-03-07	042XX S ST LAWRENCE AVE	2900	WEAPONS VIOLATION	UNLAWFUL USE/SALE AIR RIFLE	SCHOOL, PUBLIC, BUILDING	true	false	214	2	4	38	15	1180964	1877123	2016	03/14/2016 03:50:39 PM	41.818075262	-87.611675899	(41.818075262, -87.611675899)
10439268	HZ178017	2016-03-07	012XX W ARGYLE ST	0810	THEFT	OVER $500	STREET	false	false	2033	20	48	3	06	1166894	1933337	2016	03/14/2016 03:50:39 PM	41.972643078	-87.661674707	(41.972643078, -87.661674707)
10439271	HZ178065	2016-03-07	047XX S PRAIRIE AVE	0910	MOTOR VEHICLE THEFT	AUTOMOBILE	STREET	true	false	224	2	3	38	07	1178837	1873755	2016	03/14/2016 03:50:39 PM	41.80888194	-87.61958096	(41.80888194, -87.61958096)
10439273	HZ177543	2016-03-07	047XX W HURON ST	0486	BATTERY	DOMESTIC BATTERY SIMPLE	APARTMENT	false	true	1111	11	28	25	08B	1144608	1904218	2016	03/14/2016 03:50:39 PM	41.893187987	-87.744360785	(41.893187987, -87.744360785)
10439274	HZ177917	2016-03-07	041XX S MOZART ST	1320	CRIMINAL DAMAGE	TO VEHICLE	PARKING LOT/GARAGE(NON.RESID.)	false	false	921	9	14	58	14	1158047	1877055	2016	03/14/2016 03:50:39 PM	41.818386056	-87.695744826	(41.818386056, -87.695744826)
10439280	HZ178064	2016-03-07	011XX N LECLAIRE AVE	0820	THEFT	$500 AND UNDER	RESIDENTIAL YARD (FRONT/BACK)	false	false	1531	15	37	25	06	1142155	1907080	2016	03/14/2016 03:50:39 PM	41.901087501	-87.7532988	(41.901087501, -87.7532988)
10439283	HZ177956	2016-03-07	049XX W GRACE ST	0910	MOTOR VEHICLE THEFT	AUTOMOBILE	STREET	false	false	1634	16	45	15	07	1142810	1924810	2016	03/14/2016 03:50:39 PM	41.949728251	-87.750450208	(41.949728251, -87.750450208)
10439284	HZ178085	2016-03-07	080XX S MAY ST	2017	NARCOTICS	MANU/DELIVER:CRACK	VEHICLE NON-COMMERCIAL	true	false	612	6	21	71	18	1170049	1851510	2016	03/14/2016 03:50:39 PM	41.748034743	-87.652459434	(41.748034743, -87.652459434)
10439288	HZ178054	2016-03-07	010XX N MONTICELLO AVE	1310	CRIMINAL DAMAGE	TO PROPERTY	RESIDENCE	false	false	1112	11	27	23	14	1151857	1906629	2016	03/14/2016 03:50:39 PM	41.899664378	-87.717674131	(41.899664378, -87.717674131)
10439291	HZ178005	2016-03-07	003XX S MICHIGAN AVE	0890	THEFT	FROM BUILDING	RESTAURANT	false	false	113	1	2	32	06	1177339	1898916	2016	03/14/2016 03:50:39 PM	41.877959571	-87.624313409	(41.877959571, -87.624313409)
10439294	HZ178135	2016-03-07	0000X N STATE ST	0860	THEFT	RETAIL THEFT	DEPARTMENT STORE	false	false	112	1	42	32	06	1176364	1900524	2016	03/14/2016 03:50:39 PM	41.882394062	-87.627844798	(41.882394062, -87.627844798)
10439300	HZ178094	2016-03-07	036XX W 64TH PL	0620	BURGLARY	UNLAWFUL ENTRY	RESIDENCE-GARAGE	false	false	823	8	13	65	05	1153239	1861596	2016	03/14/2016 03:50:39 PM	41.776060869	-87.713791071	(41.776060869, -87.713791071)
10439301	HZ178154	2016-03-07	050XX W WASHINGTON BLVD	1154	DECEPTIVE PRACTICE	FINANCIAL IDENTITY THEFT $300 AND UNDER	RESIDENCE	false	false	1532	15	28	25	11	1142806	1900034	2016	03/14/2016 03:50:39 PM	41.88174034	-87.751083213	(41.88174034, -87.751083213)
10439302	HZ178008	2016-03-07	019XX E 87TH ST	051A	ASSAULT	AGGRAVATED: HANDGUN	PARKING LOT/GARAGE(NON.RESID.)	true	false	412	4	8	45	04A	1190588	1847672	2016	03/14/2016 03:50:39 PM	41.737032276	-87.577322335	(41.737032276, -87.577322335)
10439304	HZ178141	2016-03-07	049XX W MONROE ST	1811	NARCOTICS	POSS: CANNABIS 30GMS OR LESS	SIDEWALK	true	false	1533	15	28	25	18	1143555	1899210	2016	03/14/2016 03:50:39 PM	41.879465206	-87.748353493	(41.879465206, -87.748353493)
10439306	HZ178030	2016-03-07	060XX S NORMAL BLVD	0910	MOTOR VEHICLE THEFT	AUTOMOBILE	STREET	false	false	711	7	20	68	07	1173994	1864945	2016	03/14/2016 03:50:39 PM	41.784815392	-87.637605509	(41.784815392, -87.637605509)
10439309	HZ178102	2016-03-07	062XX N LINCOLN AVE	0560	ASSAULT	SIMPLE	DEPARTMENT STORE	false	false	1711	17	50	13	08A	1152477	1941288	2016	03/14/2016 03:50:39 PM	41.994758989	-87.7144777	(41.994758989, -87.7144777)
10439311	HZ178125	2016-03-07	014XX W 115TH ST	2024	NARCOTICS	POSS: HEROIN(WHITE)	STREET	true	false	2234	22	34	75	18	1168553	1828477	2016	03/14/2016 03:50:39 PM	41.684861012	-87.658602698	(41.684861012, -87.658602698)
10439312	HZ178089	2016-03-07	068XX S ARTESIAN AVE	4625	OTHER OFFENSE	PAROLE VIOLATION	SIDEWALK	true	false	832	8	17	66	26	1161223	1859181	2016	03/14/2016 03:50:39 PM	41.769272202	-87.684588927	(41.769272202, -87.684588927)
10439314	HZ178150	2016-03-07	039XX W FLOURNOY ST	2014	NARCOTICS	MANU/DELIVER: HEROIN (WHITE)	SIDEWALK	true	false	1132	11	24	26	18	1150154	1896737	2016	03/14/2016 03:50:39 PM	41.872553033	-87.724187214	(41.872553033, -87.724187214)
10439316	HZ178117	2016-03-07	076XX S CICERO AVE	0860	THEFT	RETAIL THEFT	SMALL RETAIL STORE	true	false	833	8	13	65	06	1145727	1853720	2016	03/14/2016 03:50:39 PM	41.754592961	-87.741528537	(41.754592961, -87.741528537)
10439317	HZ177965	2016-03-07	126XX S EMERALD AVE	1154	DECEPTIVE PRACTICE	FINANCIAL IDENTITY THEFT $300 AND UNDER	STREET	false	false	523	5	34	53	11	1173624	1821050	2016	03/14/2016 03:50:39 PM	41.664369626	-87.640257814	(41.664369626, -87.640257814)
10439318	HZ178121	2016-03-07	077XX S INGLESIDE AVE	0545	ASSAULT	PRO EMP HANDS NO/MIN INJURY	SCHOOL, PUBLIC, BUILDING	true	false	624	6	8	69	08A	1183899	1853859	2016	03/14/2016 03:50:39 PM	41.754168689	-87.601635756	(41.754168689, -87.601635756)
10439319	HZ178156	2016-03-07	064XX S KOLIN AVE	1320	CRIMINAL DAMAGE	TO VEHICLE	STREET	false	false	813	8	13	65	14	1148481	1861541	2016	03/14/2016 03:50:39 PM	41.776002679	-87.731235174	(41.776002679, -87.731235174)
10439322	HZ177864	2016-03-07	004XX E 76TH ST	1320	CRIMINAL DAMAGE	TO VEHICLE	VEHICLE NON-COMMERCIAL	false	true	624	6	6	69	14	1180331	1854711	2016	03/14/2016 03:50:39 PM	41.756589197	-87.614685108	(41.756589197, -87.614685108)
10439323	HZ178009	2016-03-07	078XX S BISHOP ST	1310	CRIMINAL DAMAGE	TO PROPERTY	APARTMENT	false	true	612	6	17	71	14	1167916	1852853	2016	03/14/2016 03:50:39 PM	41.751766172	-87.660236947	(41.751766172, -87.660236947)
10439324	HZ178162	2016-03-07	005XX N MICHIGAN AVE	0890	THEFT	FROM BUILDING	HOTEL/MOTEL	false	false	1834	18	42	8	06	1177347	1903741	2016	03/14/2016 03:50:39 PM	41.891199446	-87.624137626	(41.891199446, -87.624137626)
10439325	HZ178143	2016-03-07	009XX W WILSON AVE	1811	NARCOTICS	POSS: CANNABIS 30GMS OR LESS	SCHOOL, PUBLIC, BUILDING	true	false	1914	19	46	3	18	1169275	1930737	2016	03/14/2016 03:50:39 PM	41.965457044	-87.652995284	(41.965457044, -87.652995284)
10439331	HZ178178	2016-03-07	059XX S LAFLIN ST	1310	CRIMINAL DAMAGE	TO PROPERTY	RESIDENCE	false	false	713	7	15	67	14	1167354	1865247	2016	03/14/2016 03:50:39 PM	41.785788972	-87.661941883	(41.785788972, -87.661941883)
10439333	HZ177968	2016-03-07	007XX E 75TH ST	0460	BATTERY	SIMPLE	OTHER	false	false	624	6	6	69	08B	1182632	1855451	2016	03/14/2016 03:50:39 PM	41.758566778	-87.606229539	(41.758566778, -87.606229539)
10439334	HZ178171	2016-03-07	010XX W OAKDALE AVE	0810	THEFT	OVER $500	STREET	false	false	1933	19	44	6	06	1168842	1919758	2016	03/14/2016 03:50:39 PM	41.93533966	-87.654906857	(41.93533966, -87.654906857)
10439335	HZ178129	2016-03-07	038XX S WINCHESTER AVE	1310	CRIMINAL DAMAGE	TO PROPERTY	RESIDENCE	false	false	912	9	11	59	14	1163984	1879299	2016	03/14/2016 03:50:39 PM	41.82442089	-87.673902647	(41.82442089, -87.673902647)
10439336	HZ178053	2016-03-07	054XX N OCTAVIA AVE	0486	BATTERY	DOMESTIC BATTERY SIMPLE	SIDEWALK	false	true	1613	16	41	10	08B	1126566	1935779	2016	03/14/2016 03:50:39 PM	41.980116018	-87.809915991	(41.980116018, -87.809915991)
10439337	HZ178195	2016-03-07	020XX N KEDVALE AVE	2826	OTHER OFFENSE	HARASSMENT BY ELECTRONIC MEANS	RESIDENCE	false	false	2525	25	30	20	26	1148385	1913315	2016	03/14/2016 03:50:39 PM	41.918079093	-87.730254236	(41.918079093, -87.730254236)
10439338	HZ178078	2016-03-07	109XX S DOTY AVE W	0860	THEFT	RETAIL THEFT	DEPARTMENT STORE	true	false	513	5	9	50	06	1185440	1832668	2016	03/14/2016 03:50:39 PM	41.695982095	-87.596653142	(41.695982095, -87.596653142)
10439339	HZ178205	2016-03-07	037XX W 55TH ST	0820	THEFT	$500 AND UNDER	STREET	false	false	822	8	23	62	06	1152217	1867866	2016	03/14/2016 03:50:39 PM	41.79328685	-87.717373024	(41.79328685, -87.717373024)
10439340	HZ178069	2016-03-07	007XX S KEELER AVE	0910	MOTOR VEHICLE THEFT	AUTOMOBILE	STREET	false	false	1132	11	24	26	07	1148508	1896253	2016	03/14/2016 03:50:39 PM	41.871256775	-87.730242957	(41.871256775, -87.730242957)
10439343	HZ178207	2016-03-07	005XX W ROOSEVELT RD	1330	CRIMINAL TRESPASS	TO LAND	DRUG STORE	true	false	124	1	2	28	26	1173209	1894980	2016	03/14/2016 03:50:39 PM	41.867251542	-87.639594427	(41.867251542, -87.639594427)
10439347	HZ178189	2016-03-07	013XX W 13TH ST	2017	NARCOTICS	MANU/DELIVER:CRACK	CHA PARKING LOT/GROUNDS	true	false	1233	12	2	28	18	1167702	1894186	2016	03/14/2016 03:50:39 PM	41.865193084	-87.659834176	(41.865193084, -87.659834176)
10439349	HZ178202	2016-03-07	043XX S ARCHER AVE	1330	CRIMINAL TRESPASS	TO LAND	OTHER	true	false	821	8	14	58	26	1155614	1875367	2016	03/14/2016 03:50:39 PM	41.813803157	-87.704715262	(41.813803157, -87.704715262)
10439350	HZ178163	2016-03-07	005XX N MICHIGAN AVE	1150	DECEPTIVE PRACTICE	CREDIT CARD FRAUD	HOTEL/MOTEL	false	false	1834	18	42	8	11	1177347	1903741	2016	03/14/2016 03:50:39 PM	41.891199446	-87.624137626	(41.891199446, -87.624137626)
10439356	HZ178127	2016-03-07	092XX S COMMERCIAL AVE	1330	CRIMINAL TRESPASS	TO LAND	RESTAURANT	true	false	424	4	10	46	26	1197747	1844338	2016	03/14/2016 03:50:39 PM	41.727707947	-87.551205466	(41.727707947, -87.551205466)
10439361	HZ178262	2016-03-07	002XX S WABASH AVE	0890	THEFT	FROM BUILDING	GROCERY FOOD STORE	false	false	113	1	42	32	06	1176847	1899294	2016	03/14/2016 03:50:39 PM	41.879007964	-87.626108456	(41.879007964, -87.626108456)
10439363	HZ178155	2016-03-07	015XX E 61ST ST	0610	BURGLARY	FORCIBLE ENTRY	APARTMENT	false	false	314	3	5	42	05	1187632	1864700	2016	03/14/2016 03:50:39 PM	41.783829393	-87.587611258	(41.783829393, -87.587611258)
10439370	HZ178003	2016-03-07	043XX N NARRAGANSETT AVE	1320	CRIMINAL DAMAGE	TO VEHICLE	PARKING LOT/GARAGE(NON.RESID.)	false	false	1632	16	38	17	14	1132905	1928088	2016	03/14/2016 03:50:39 PM	41.958902502	-87.786783523	(41.958902502, -87.786783523)
10439371	HZ178260	2016-03-07	058XX N MILWAUKEE AVE	1320	CRIMINAL DAMAGE	TO VEHICLE	STREET	false	false	1622	16	45	10	14	1135108	1938480	2016	03/14/2016 03:50:39 PM	41.987380267	-87.778436799	(41.987380267, -87.778436799)
10439374	HZ178149	2016-03-07	053XX N MEADE AVE	0560	ASSAULT	SIMPLE	RESIDENCE	false	false	1622	16	45	11	08A	1134454	1935154	2016	03/14/2016 03:50:39 PM	41.97826503	-87.780921178	(41.97826503, -87.780921178)
10439375	HZ178224	2016-03-07	063XX S DR MARTIN LUTHER KING JR DR	2820	OTHER OFFENSE	TELEPHONE THREAT	RESIDENCE	false	true	312	3	20	69	26	1180014	1862868	2016	03/14/2016 03:50:39 PM	41.778980114	-87.615597389	(41.778980114, -87.615597389)
10439377	HZ178217	2016-03-07	052XX W IRVING PARK RD	1320	CRIMINAL DAMAGE	TO VEHICLE	OTHER	true	false	1624	16	38	15	14	1140744	1926093	2016	03/14/2016 03:50:39 PM	41.953287226	-87.758013009	(41.953287226, -87.758013009)
10439379	HZ178079	2016-03-07	0000X W 95TH ST	0560	ASSAULT	SIMPLE	RESTAURANT	false	false	634	6	21	49	08A	1177513	1841973	2016	03/14/2016 03:50:39 PM	41.721698686	-87.625396491	(41.721698686, -87.625396491)
10439380	HZ178242	2016-03-07	039XX W BARRY AVE	0560	ASSAULT	SIMPLE	SCHOOL, PUBLIC, GROUNDS	false	false	2523	25	31	21	08A	1149325	1920317	2016	03/14/2016 03:50:39 PM	41.937275013	-87.726618559	(41.937275013, -87.726618559)
10439381	HZ178208	2016-03-07	038XX W 57TH PL	4387	OTHER OFFENSE	VIOLATE ORDER OF PROTECTION	RESIDENCE	true	true	822	8	13	62	26	1151691	1866200	2016	05/09/2016 03:49:38 PM	41.788725421	-87.719345468	(41.788725421, -87.719345468)
10439383	HZ178137	2016-03-07	056XX W ADDISON ST	1154	DECEPTIVE PRACTICE	FINANCIAL IDENTITY THEFT $300 AND UNDER	HOSPITAL BUILDING/GROUNDS	false	false	1633	16	38	15	11	1138076	1923370	2016	03/14/2016 03:50:39 PM	41.945863775	-87.767886976	(41.945863775, -87.767886976)
10439384	HZ178261	2016-03-07	063XX S SACRAMENTO AVE	1330	CRIMINAL TRESPASS	TO LAND	APARTMENT	true	false	823	8	15	66	26	1157473	1862480	2016	03/14/2016 03:50:39 PM	41.778401943	-87.698245486	(41.778401943, -87.698245486)
10439385	HZ178250	2016-03-07	047XX N ASHLAND AVE	1320	CRIMINAL DAMAGE	TO VEHICLE	STREET	false	false	1912	19	47	3	14	1164801	1931619	2016	03/14/2016 03:50:39 PM	41.967973591	-87.669420001	(41.967973591, -87.669420001)
10439387	HZ178192	2016-03-07	0000X W GARFIELD BLVD	502P	OTHER OFFENSE	FALSE/STOLEN/ALTERED TRP	STREET	true	false	225	2	3	40	26	1177100	1868422	2016	03/14/2016 03:50:39 PM	41.794287097	-87.62611281	(41.794287097, -87.62611281)
10439389	HZ178228	2016-03-07	017XX W PRYOR AVE	0810	THEFT	OVER $500	SCHOOL, PUBLIC, BUILDING	false	false	2212	22	19	75	06	1166533	1831078	2016	03/14/2016 03:50:39 PM	41.692041778	-87.665923635	(41.692041778, -87.665923635)
10439392	HZ178245	2016-03-07	014XX S HOMAN AVE	0560	ASSAULT	SIMPLE	SIDEWALK	false	false	1021	10	24	29	08A	1153931	1892939	2016	03/14/2016 03:50:39 PM	41.862056515	-87.71042125	(41.862056515, -87.71042125)
10439395	HZ178274	2016-03-07	039XX S PRAIRIE AVE	0560	ASSAULT	SIMPLE	CHA PARKING LOT/GROUNDS	true	false	213	2	3	38	08A	1178690	1878845	2016	03/14/2016 03:50:39 PM	41.822852674	-87.619965136	(41.822852674, -87.619965136)
10439396	HZ178077	2016-03-07	077XX N MARSHFIELD AVE	0486	BATTERY	DOMESTIC BATTERY SIMPLE	APARTMENT	true	true	2422	24	49	1	08B	1163977	1951193	2016	03/14/2016 03:50:39 PM	42.021702671	-87.671893851	(42.021702671, -87.671893851)
10439397	HZ178334	2016-03-07	006XX N TRUMBULL AVE	1310	CRIMINAL DAMAGE	TO PROPERTY	RESIDENCE	false	false	1121	11	27	23	14	1153263	1904143	2016	03/14/2016 03:50:39 PM	41.89281475	-87.712575926	(41.89281475, -87.712575926)
10439398	HZ178362	2016-03-07	041XX W WASHINGTON BLVD	1310	CRIMINAL DAMAGE	TO PROPERTY	APARTMENT	false	false	1115	11	28	26	14	1148744	1900170	2016	03/14/2016 03:50:39 PM	41.882000919	-87.729275294	(41.882000919, -87.729275294)
10439399	HZ178193	2016-03-07	075XX N CLARK ST	0460	BATTERY	SIMPLE	GROCERY FOOD STORE	true	false	2422	24	49	1	08B	1162886	1950016	2016	03/14/2016 03:50:39 PM	42.018496028	-87.675942011	(42.018496028, -87.675942011)
10439400	HZ178330	2016-03-07	058XX W WABANSIA AVE	3731	INTERFERENCE WITH PUBLIC OFFICER	OBSTRUCTING IDENTIFICATION	STREET	true	false	2531	25	29	25	24	1137041	1910703	2016	03/14/2016 03:50:39 PM	41.911122799	-87.771996155	(41.911122799, -87.771996155)
